trace_id,event_name,start_time,start_weekday,end_time,duration,resource,adaptation_action
5,E,2022-08-01 14:10:00+00:00,0,2022-08-01 14:40:00+00:00,30.0,Default Resource-000004,no-action
5,F,2022-08-01 14:40:00+00:00,0,2022-08-01 15:10:00+00:00,30.0,Default Resource-000001,no-action
5,process end event,2022-08-01 15:10:00+00:00,0,2022-08-01 15:10:00+00:00,0.0,NA,no-action
6,process start event,2022-08-01 12:00:00+00:00,0,2022-08-01 12:00:00+00:00,0.0,NA,no-action
6,A,2022-08-01 12:00:00+00:00,0,2022-08-01 12:30:00+00:00,30.0,Default Resource-000002,no-action
6,B,2022-08-01 12:30:00+00:00,0,2022-08-01 13:00:00+00:00,30.0,Default Resource-000009,no-action
6,C,2022-08-01 13:00:00+00:00,0,2022-08-01 14:30:00+00:00,90.0,Default Resource-000006,no-action
6,D,2022-08-01 14:30:00+00:00,0,2022-08-01 15:00:00+00:00,30.0,Default Resource-000003,no-action
6,E,2022-08-01 15:00:00+00:00,0,2022-08-01 15:30:00+00:00,30.0,Default Resource-000010,no-action
6,F,2022-08-01 15:30:00+00:00,0,2022-08-01 16:00:00+00:00,30.0,Default Resource-000007,no-action
6,process end event,2022-08-01 16:00:00+00:00,0,2022-08-01 16:00:00+00:00,0.0,NA,no-action
7,process start event,2022-08-01 12:30:00+00:00,0,2022-08-01 12:30:00+00:00,0.0,NA,no-action
7,A,2022-08-01 12:30:00+00:00,0,2022-08-01 13:00:00+00:00,30.0,Default Resource-000008,no-action
7,B,2022-08-01 13:00:00+00:00,0,2022-08-01 13:40:00+00:00,40.0,Default Resource-000005,no-action
7,C,2022-08-01 13:40:00+00:00,0,2022-08-01 14:40:00+00:00,60.0,Default Resource-000002,no-action
7,D,2022-08-01 14:40:00+00:00,0,2022-08-01 15:10:00+00:00,30.0,Default Resource-000009,no-action
7,E,2022-08-01 15:10:00+00:00,0,2022-08-01 15:40:00+00:00,30.0,Default Resource-000006,no-action
7,F,2022-08-01 15:40:00+00:00,0,2022-08-01 16:10:00+00:00,30.0,Default Resource-000003,no-action
7,process end event,2022-08-01 16:10:00+00:00,0,2022-08-01 16:10:00+00:00,0.0,NA,no-action
8,process start event,2022-08-01 13:00:00+00:00,0,2022-08-01 13:00:00+00:00,0.0,NA,no-action
8,A,2022-08-01 13:00:00+00:00,0,2022-08-01 13:30:00+00:00,30.0,Default Resource-000004,no-action
8,B,2022-08-01 13:30:00+00:00,0,2022-08-01 14:20:00+00:00,50.0,Default Resource-000001,no-action
8,C,2022-08-01 14:20:00+00:00,0,2022-08-01 14:50:00+00:00,30.0,Default Resource-000008,no-action
8,D,2022-08-01 14:50:00+00:00,0,2022-08-01 15:20:00+00:00,30.0,Default Resource-000005,no-action
8,E,2022-08-01 15:20:00+00:00,0,2022-08-01 15:50:00+00:00,30.0,Default Resource-000002,no-action
8,F,2022-08-01 15:50:00+00:00,0,2022-08-01 16:20:00+00:00,30.0,Default Resource-000009,no-action
8,process end event,2022-08-01 16:20:00+00:00,0,2022-08-01 16:20:00+00:00,0.0,NA,no-action
9,process start event,2022-08-01 13:30:00+00:00,0,2022-08-01 13:30:00+00:00,0.0,NA,no-action
9,A,2022-08-01 13:30:00+00:00,0,2022-08-01 14:00:00+00:00,30.0,Default Resource-000010,no-action
9,B,2022-08-01 14:00:00+00:00,0,2022-08-01 15:00:00+00:00,60.0,Default Resource-000007,no-action
9,C,2022-08-01 15:00:00+00:00,0,2022-08-01 16:00:00+00:00,60.0,Default Resource-000004,no-action
9,D,2022-08-01 16:00:00+00:00,0,2022-08-01 16:30:00+00:00,30.0,Default Resource-000001,no-action
9,E,2022-08-01 16:30:00+00:00,0,2022-08-01 17:00:00+00:00,30.0,Default Resource-000008,no-action
9,F,2022-08-01 17:00:00+00:00,0,2022-08-01 17:30:00+00:00,30.0,Default Resource-000005,no-action
9,process end event,2022-08-01 17:30:00+00:00,0,2022-08-01 17:30:00+00:00,0.0,NA,no-action
10,process start event,2022-08-01 14:00:00+00:00,0,2022-08-01 14:00:00+00:00,0.0,NA,skip
10,A,2022-08-01 14:00:00+00:00,0,2022-08-01 14:30:00+00:00,30.0,Default Resource-000006,skip
10,B,2022-08-01 14:30:00+00:00,0,2022-08-01 15:20:00+00:00,50.0,Default Resource-000003,skip
10,C,2022-08-01 15:20:00+00:00,0,2022-08-01 16:50:00+00:00,90.0,Default Resource-000010,skip
10,D,2022-08-01 16:50:00+00:00,0,2022-08-01 17:20:00+00:00,30.0,Default Resource-000007,skip
10,F,2022-08-01 17:50:00+00:00,0,2022-08-01 18:20:00+00:00,30.0,Default Resource-000001,skip
10,process end event,2022-08-01 18:20:00+00:00,0,2022-08-01 18:20:00+00:00,0.0,NA,skip
11,process start event,2022-08-01 14:30:00+00:00,0,2022-08-01 14:30:00+00:00,0.0,NA,skip
11,A,2022-08-01 14:30:00+00:00,0,2022-08-01 15:00:00+00:00,30.0,Default Resource-000002,skip
11,B,2022-08-01 15:00:00+00:00,0,2022-08-01 15:40:00+00:00,40.0,Default Resource-000009,skip
11,C,2022-08-01 15:40:00+00:00,0,2022-08-01 16:40:00+00:00,60.0,Default Resource-000006,skip
11,D,2022-08-01 16:40:00+00:00,0,2022-08-01 17:10:00+00:00,30.0,Default Resource-000003,skip
11,F,2022-08-01 17:40:00+00:00,0,2022-08-02 10:10:00+00:00,990.0,Default Resource-000007,skip
11,process end event,2022-08-02 10:10:00+00:00,1,2022-08-02 10:10:00+00:00,0.0,NA,skip
12,process start event,2022-08-01 15:00:00+00:00,0,2022-08-01 15:00:00+00:00,0.0,NA,skip
12,A,2022-08-01 15:00:00+00:00,0,2022-08-01 15:30:00+00:00,30.0,Default Resource-000008,skip
12,B,2022-08-01 15:30:00+00:00,0,2022-08-01 16:00:00+00:00,30.0,Default Resource-000005,skip
12,C,2022-08-01 16:00:00+00:00,0,2022-08-01 16:30:00+00:00,30.0,Default Resource-000002,skip
12,D,2022-08-01 16:30:00+00:00,0,2022-08-01 17:00:00+00:00,30.0,Default Resource-000009,skip
12,F,2022-08-02 09:30:00+00:00,1,2022-08-02 10:00:00+00:00,30.0,Default Resource-000003,skip
12,process end event,2022-08-02 10:00:00+00:00,1,2022-08-02 10:00:00+00:00,0.0,NA,skip
13,process start event,2022-08-01 15:30:00+00:00,0,2022-08-01 15:30:00+00:00,0.0,NA,skip
13,A,2022-08-01 15:30:00+00:00,0,2022-08-01 16:00:00+00:00,30.0,Default Resource-000004,skip
13,B,2022-08-01 16:00:00+00:00,0,2022-08-01 16:40:00+00:00,40.0,Default Resource-000001,skip
13,C,2022-08-01 16:40:00+00:00,0,2022-08-01 17:40:00+00:00,60.0,Default Resource-000008,skip
13,D,2022-08-01 17:40:00+00:00,0,2022-08-02 10:10:00+00:00,990.0,Default Resource-000005,skip
13,F,2022-08-02 10:40:00+00:00,1,2022-08-02 11:10:00+00:00,30.0,Default Resource-000009,skip
13,process end event,2022-08-02 11:10:00+00:00,1,2022-08-02 11:10:00+00:00,0.0,NA,skip
14,process start event,2022-08-01 16:00:00+00:00,0,2022-08-01 16:00:00+00:00,0.0,NA,skip
14,A,2022-08-01 16:00:00+00:00,0,2022-08-01 16:30:00+00:00,30.0,Default Resource-000010,skip
14,B,2022-08-01 16:30:00+00:00,0,2022-08-01 17:20:00+00:00,50.0,Default Resource-000007,skip
14,C,2022-08-01 17:20:00+00:00,0,2022-08-01 18:50:00+00:00,90.0,Default Resource-000004,skip
14,D,2022-08-01 18:50:00+00:00,0,2022-08-01 19:20:00+00:00,30.0,Default Resource-000001,skip
14,F,2022-08-01 19:50:00+00:00,0,2022-08-01 20:20:00+00:00,30.0,Default Resource-000005,skip
14,process end event,2022-08-01 20:20:00+00:00,0,2022-08-01 20:20:00+00:00,0.0,NA,skip
15,process start event,2022-08-01 16:30:00+00:00,0,2022-08-01 16:30:00+00:00,0.0,NA,no-action
15,A,2022-08-01 16:30:00+00:00,0,2022-08-01 17:00:00+00:00,30.0,Default Resource-000006,no-action
15,B,2022-08-01 17:00:00+00:00,0,2022-08-01 18:00:00+00:00,60.0,Default Resource-000003,no-action
15,C,2022-08-01 18:00:00+00:00,0,2022-08-01 19:00:00+00:00,60.0,Default Resource-000010,no-action
15,D,2022-08-01 19:00:00+00:00,0,2022-08-01 19:30:00+00:00,30.0,Default Resource-000007,no-action
15,E,2022-08-01 19:30:00+00:00,0,2022-08-01 20:00:00+00:00,30.0,Default Resource-000004,no-action
15,F,2022-08-01 20:00:00+00:00,0,2022-08-01 20:30:00+00:00,30.0,Default Resource-000001,no-action
15,process end event,2022-08-01 20:30:00+00:00,0,2022-08-01 20:30:00+00:00,0.0,NA,no-action
16,process start event,2022-08-01 17:00:00+00:00,0,2022-08-01 17:00:00+00:00,0.0,NA,skip
16,A,2022-08-01 17:00:00+00:00,0,2022-08-02 09:30:00+00:00,990.0,Default Resource-000002,skip
16,B,2022-08-02 09:30:00+00:00,1,2022-08-02 10:20:00+00:00,50.0,Default Resource-000009,skip
16,C,2022-08-02 10:20:00+00:00,1,2022-08-02 10:50:00+00:00,30.0,Default Resource-000006,skip
16,D,2022-08-02 10:50:00+00:00,1,2022-08-02 11:20:00+00:00,30.0,Default Resource-000003,skip
16,F,2022-08-02 11:50:00+00:00,1,2022-08-02 12:20:00+00:00,30.0,Default Resource-000007,skip
16,process end event,2022-08-02 12:20:00+00:00,1,2022-08-02 12:20:00+00:00,0.0,NA,skip
17,process start event,2022-08-02 09:30:00+00:00,1,2022-08-02 09:30:00+00:00,0.0,NA,no-action
17,A,2022-08-02 09:30:00+00:00,1,2022-08-02 10:00:00+00:00,30.0,Default Resource-000008,no-action
17,B,2022-08-02 10:00:00+00:00,1,2022-08-02 10:40:00+00:00,40.0,Default Resource-000005,no-action
17,C,2022-08-02 10:40:00+00:00,1,2022-08-02 11:40:00+00:00,60.0,Default Resource-000002,no-action
17,D,2022-08-02 11:40:00+00:00,1,2022-08-02 12:10:00+00:00,30.0,Default Resource-000009,no-action
17,E,2022-08-02 12:10:00+00:00,1,2022-08-02 12:40:00+00:00,30.0,Default Resource-000006,no-action
17,F,2022-08-02 12:40:00+00:00,1,2022-08-02 13:10:00+00:00,30.0,Default Resource-000003,no-action
17,process end event,2022-08-02 13:10:00+00:00,1,2022-08-02 13:10:00+00:00,0.0,NA,no-action
18,process start event,2022-08-02 10:00:00+00:00,1,2022-08-02 10:00:00+00:00,0.0,NA,no-action
18,A,2022-08-02 10:00:00+00:00,1,2022-08-02 10:30:00+00:00,30.0,Default Resource-000004,no-action
18,B,2022-08-02 10:30:00+00:00,1,2022-08-02 11:00:00+00:00,30.0,Default Resource-000001,no-action
18,C,2022-08-02 11:00:00+00:00,1,2022-08-02 12:30:00+00:00,90.0,Default Resource-000008,no-action
18,D,2022-08-02 12:30:00+00:00,1,2022-08-02 13:00:00+00:00,30.0,Default Resource-000005,no-action
18,E,2022-08-02 13:00:00+00:00,1,2022-08-02 13:30:00+00:00,30.0,Default Resource-000002,no-action
18,F,2022-08-02 13:30:00+00:00,1,2022-08-02 14:00:00+00:00,30.0,Default Resource-000009,no-action
18,process end event,2022-08-02 14:00:00+00:00,1,2022-08-02 14:00:00+00:00,0.0,NA,no-action
19,process start event,2022-08-02 10:30:00+00:00,1,2022-08-02 10:30:00+00:00,0.0,NA,no-action
19,A,2022-08-02 10:30:00+00:00,1,2022-08-02 11:00:00+00:00,30.0,Default Resource-000010,no-action
19,B,2022-08-02 11:00:00+00:00,1,2022-08-02 11:40:00+00:00,40.0,Default Resource-000007,no-action
19,C,2022-08-02 11:40:00+00:00,1,2022-08-02 12:40:00+00:00,60.0,Default Resource-000004,no-action
19,D,2022-08-02 12:40:00+00:00,1,2022-08-02 13:10:00+00:00,30.0,Default Resource-000001,no-action
19,E,2022-08-02 13:10:00+00:00,1,2022-08-02 13:40:00+00:00,30.0,Default Resource-000008,no-action
19,F,2022-08-02 13:40:00+00:00,1,2022-08-02 14:10:00+00:00,30.0,Default Resource-000005,no-action
19,process end event,2022-08-02 14:10:00+00:00,1,2022-08-02 14:10:00+00:00,0.0,NA,no-action
20,process start event,2022-08-02 11:00:00+00:00,1,2022-08-02 11:00:00+00:00,0.0,NA,no-action
20,A,2022-08-02 11:00:00+00:00,1,2022-08-02 11:30:00+00:00,30.0,Default Resource-000006,no-action
20,B,2022-08-02 11:30:00+00:00,1,2022-08-02 12:20:00+00:00,50.0,Default Resource-000003,no-action
20,C,2022-08-02 12:20:00+00:00,1,2022-08-02 12:50:00+00:00,30.0,Default Resource-000010,no-action
20,D,2022-08-02 12:50:00+00:00,1,2022-08-02 13:20:00+00:00,30.0,Default Resource-000007,no-action
20,E,2022-08-02 13:20:00+00:00,1,2022-08-02 13:50:00+00:00,30.0,Default Resource-000004,no-action
20,F,2022-08-02 13:50:00+00:00,1,2022-08-02 14:20:00+00:00,30.0,Default Resource-000001,no-action
20,process end event,2022-08-02 14:20:00+00:00,1,2022-08-02 14:20:00+00:00,0.0,NA,no-action
21,process start event,2022-08-02 11:30:00+00:00,1,2022-08-02 11:30:00+00:00,0.0,NA,no-action
21,A,2022-08-02 11:30:00+00:00,1,2022-08-02 12:00:00+00:00,30.0,Default Resource-000002,no-action
21,B,2022-08-02 12:00:00+00:00,1,2022-08-02 13:00:00+00:00,60.0,Default Resource-000009,no-action
21,C,2022-08-02 13:00:00+00:00,1,2022-08-02 14:00:00+00:00,60.0,Default Resource-000006,no-action
21,D,2022-08-02 14:00:00+00:00,1,2022-08-02 14:30:00+00:00,30.0,Default Resource-000003,no-action
21,E,2022-08-02 14:30:00+00:00,1,2022-08-02 15:00:00+00:00,30.0,Default Resource-000010,no-action
21,F,2022-08-02 15:00:00+00:00,1,2022-08-02 15:30:00+00:00,30.0,Default Resource-000007,no-action
21,process end event,2022-08-02 15:30:00+00:00,1,2022-08-02 15:30:00+00:00,0.0,NA,no-action
22,process start event,2022-08-02 12:00:00+00:00,1,2022-08-02 12:00:00+00:00,0.0,NA,skip
22,A,2022-08-02 12:00:00+00:00,1,2022-08-02 12:30:00+00:00,30.0,Default Resource-000008,skip
22,B,2022-08-02 12:30:00+00:00,1,2022-08-02 13:20:00+00:00,50.0,Default Resource-000005,skip
22,C,2022-08-02 13:20:00+00:00,1,2022-08-02 14:50:00+00:00,90.0,Default Resource-000002,skip
22,D,2022-08-02 14:50:00+00:00,1,2022-08-02 15:20:00+00:00,30.0,Default Resource-000009,skip
22,F,2022-08-02 15:50:00+00:00,1,2022-08-02 16:20:00+00:00,30.0,Default Resource-000003,skip
22,process end event,2022-08-02 16:20:00+00:00,1,2022-08-02 16:20:00+00:00,0.0,NA,skip
23,process start event,2022-08-02 12:30:00+00:00,1,2022-08-02 12:30:00+00:00,0.0,NA,no-action
23,A,2022-08-02 12:30:00+00:00,1,2022-08-02 13:00:00+00:00,30.0,Default Resource-000004,no-action
23,B,2022-08-02 13:00:00+00:00,1,2022-08-02 13:40:00+00:00,40.0,Default Resource-000001,no-action
23,C,2022-08-02 13:40:00+00:00,1,2022-08-02 14:40:00+00:00,60.0,Default Resource-000008,no-action
23,D,2022-08-02 14:40:00+00:00,1,2022-08-02 15:10:00+00:00,30.0,Default Resource-000005,no-action
23,E,2022-08-02 15:10:00+00:00,1,2022-08-02 15:40:00+00:00,30.0,Default Resource-000002,no-action
23,F,2022-08-02 15:40:00+00:00,1,2022-08-02 16:10:00+00:00,30.0,Default Resource-000009,no-action
23,process end event,2022-08-02 16:10:00+00:00,1,2022-08-02 16:10:00+00:00,0.0,NA,no-action
24,process start event,2022-08-02 13:00:00+00:00,1,2022-08-02 13:00:00+00:00,0.0,NA,insert
24,A,2022-08-02 13:00:00+00:00,1,2022-08-02 13:30:00+00:00,30.0,Default Resource-000010,insert
24,B,2022-08-02 13:30:00+00:00,1,2022-08-02 14:00:00+00:00,30.0,Default Resource-000007,insert
24,C,2022-08-02 14:00:00+00:00,1,2022-08-02 14:30:00+00:00,30.0,Default Resource-000004,insert
24,D,2022-08-02 14:30:00+00:00,1,2022-08-02 15:00:00+00:00,30.0,Default Resource-000001,insert
24,E,2022-08-02 15:00:00+00:00,1,2022-08-02 15:30:00+00:00,30.0,Default Resource-000008,insert
24,F,2022-08-02 15:30:00+00:00,1,2022-08-02 16:00:00+00:00,30.0,Default Resource-000005,insert
24,I,2022-08-02 16:00:00+00:00,1,2022-08-02 16:30:00+00:00,30.0,Inserted_Activity_resource,insert
24,process end event,2022-08-02 16:00:00+00:00,1,2022-08-02 16:00:00+00:00,0.0,NA,insert
25,process start event,2022-08-02 13:30:00+00:00,1,2022-08-02 13:30:00+00:00,0.0,NA,no-action
25,A,2022-08-02 13:30:00+00:00,1,2022-08-02 14:00:00+00:00,30.0,Default Resource-000006,no-action
25,B,2022-08-02 14:00:00+00:00,1,2022-08-02 14:40:00+00:00,40.0,Default Resource-000003,no-action
25,C,2022-08-02 14:40:00+00:00,1,2022-08-02 15:40:00+00:00,60.0,Default Resource-000010,no-action
25,D,2022-08-02 15:40:00+00:00,1,2022-08-02 16:10:00+00:00,30.0,Default Resource-000007,no-action
25,E,2022-08-02 16:10:00+00:00,1,2022-08-02 16:40:00+00:00,30.0,Default Resource-000004,no-action
25,F,2022-08-02 16:40:00+00:00,1,2022-08-02 17:10:00+00:00,30.0,Default Resource-000001,no-action
25,process end event,2022-08-02 17:10:00+00:00,1,2022-08-02 17:10:00+00:00,0.0,NA,no-action
26,process start event,2022-08-02 14:00:00+00:00,1,2022-08-02 14:00:00+00:00,0.0,NA,skip
26,A,2022-08-02 14:00:00+00:00,1,2022-08-02 14:30:00+00:00,30.0,Default Resource-000002,skip
26,B,2022-08-02 14:30:00+00:00,1,2022-08-02 15:20:00+00:00,50.0,Default Resource-000009,skip
26,C,2022-08-02 15:20:00+00:00,1,2022-08-02 16:50:00+00:00,90.0,Default Resource-000006,skip
26,D,2022-08-02 16:50:00+00:00,1,2022-08-02 17:20:00+00:00,30.0,Default Resource-000003,skip
26,F,2022-08-02 17:50:00+00:00,1,2022-08-02 18:20:00+00:00,30.0,Default Resource-000007,skip
26,process end event,2022-08-02 18:20:00+00:00,1,2022-08-02 18:20:00+00:00,0.0,NA,skip
27,process start event,2022-08-02 14:30:00+00:00,1,2022-08-02 14:30:00+00:00,0.0,NA,skip
27,A,2022-08-02 14:30:00+00:00,1,2022-08-02 15:00:00+00:00,30.0,Default Resource-000008,skip
27,B,2022-08-02 15:00:00+00:00,1,2022-08-02 16:00:00+00:00,60.0,Default Resource-000005,skip
27,C,2022-08-02 16:00:00+00:00,1,2022-08-02 17:00:00+00:00,60.0,Default Resource-000002,skip
27,D,2022-08-02 17:00:00+00:00,1,2022-08-02 17:30:00+00:00,30.0,Default Resource-000009,skip
27,F,2022-08-02 18:00:00+00:00,1,2022-08-03 10:30:00+00:00,990.0,Default Resource-000003,skip
27,process end event,2022-08-03 10:30:00+00:00,2,2022-08-03 10:30:00+00:00,0.0,NA,skip
28,process start event,2022-08-02 15:00:00+00:00,1,2022-08-02 15:00:00+00:00,0.0,NA,skip
28,A,2022-08-02 15:00:00+00:00,1,2022-08-02 15:30:00+00:00,30.0,Default Resource-000004,skip
28,B,2022-08-02 15:30:00+00:00,1,2022-08-02 16:20:00+00:00,50.0,Default Resource-000001,skip
28,C,2022-08-02 16:20:00+00:00,1,2022-08-02 16:50:00+00:00,30.0,Default Resource-000008,skip
28,D,2022-08-02 16:50:00+00:00,1,2022-08-02 17:20:00+00:00,30.0,Default Resource-000005,skip
28,F,2022-08-03 09:50:00+00:00,2,2022-08-03 10:20:00+00:00,30.0,Default Resource-000009,skip
28,process end event,2022-08-03 10:20:00+00:00,2,2022-08-03 10:20:00+00:00,0.0,NA,skip
29,process start event,2022-08-02 15:30:00+00:00,1,2022-08-02 15:30:00+00:00,0.0,NA,skip
29,A,2022-08-02 15:30:00+00:00,1,2022-08-02 16:00:00+00:00,30.0,Default Resource-000010,skip
29,B,2022-08-02 16:00:00+00:00,1,2022-08-02 16:40:00+00:00,40.0,Default Resource-000007,skip
29,C,2022-08-02 16:40:00+00:00,1,2022-08-02 17:40:00+00:00,60.0,Default Resource-000004,skip
29,D,2022-08-02 17:40:00+00:00,1,2022-08-03 10:10:00+00:00,990.0,Default Resource-000001,skip
29,F,2022-08-03 10:40:00+00:00,2,2022-08-03 11:10:00+00:00,30.0,Default Resource-000005,skip
29,process end event,2022-08-03 11:10:00+00:00,2,2022-08-03 11:10:00+00:00,0.0,NA,skip
30,process start event,2022-08-02 16:00:00+00:00,1,2022-08-02 16:00:00+00:00,0.0,NA,no-action
30,A,2022-08-02 16:00:00+00:00,1,2022-08-02 16:30:00+00:00,30.0,Default Resource-000006,no-action
30,B,2022-08-02 16:30:00+00:00,1,2022-08-02 17:00:00+00:00,30.0,Default Resource-000003,no-action
30,C,2022-08-02 17:00:00+00:00,1,2022-08-02 18:30:00+00:00,90.0,Default Resource-000010,no-action
30,D,2022-08-02 18:30:00+00:00,1,2022-08-02 19:00:00+00:00,30.0,Default Resource-000007,no-action
30,E,2022-08-02 19:00:00+00:00,1,2022-08-02 19:30:00+00:00,30.0,Default Resource-000004,no-action
30,F,2022-08-02 19:30:00+00:00,1,2022-08-02 20:00:00+00:00,30.0,Default Resource-000001,no-action
30,process end event,2022-08-02 20:00:00+00:00,1,2022-08-02 20:00:00+00:00,0.0,NA,no-action
31,process start event,2022-08-02 16:30:00+00:00,1,2022-08-02 16:30:00+00:00,0.0,NA,no-action
31,A,2022-08-02 16:30:00+00:00,1,2022-08-02 17:00:00+00:00,30.0,Default Resource-000002,no-action
31,B,2022-08-02 17:00:00+00:00,1,2022-08-02 17:40:00+00:00,40.0,Default Resource-000009,no-action
31,C,2022-08-02 17:40:00+00:00,1,2022-08-02 18:40:00+00:00,60.0,Default Resource-000006,no-action
31,D,2022-08-02 18:40:00+00:00,1,2022-08-02 19:10:00+00:00,30.0,Default Resource-000003,no-action
31,E,2022-08-02 19:10:00+00:00,1,2022-08-02 19:40:00+00:00,30.0,Default Resource-000010,no-action
31,F,2022-08-02 19:40:00+00:00,1,2022-08-02 20:10:00+00:00,30.0,Default Resource-000007,no-action
31,process end event,2022-08-02 20:10:00+00:00,1,2022-08-02 20:10:00+00:00,0.0,NA,no-action
32,process start event,2022-08-02 17:00:00+00:00,1,2022-08-02 17:00:00+00:00,0.0,NA,skip
32,A,2022-08-02 17:00:00+00:00,1,2022-08-03 09:30:00+00:00,990.0,Default Resource-000008,skip
32,B,2022-08-03 09:30:00+00:00,2,2022-08-03 10:20:00+00:00,50.0,Default Resource-000005,skip
32,C,2022-08-03 10:20:00+00:00,2,2022-08-03 10:50:00+00:00,30.0,Default Resource-000002,skip
