trace_id,event:event_name@A,event:event_name@B,event:event_name@C,event:event_name@D,event:event_name@E,event:event_name@F,event:event_name@I,event:event_name@process end event,event:event_name@process start event,event:concept:name@A,event:concept:name@B,event:concept:name@C,event:concept:name@D,event:concept:name@E,event:concept:name@F,event:concept:name@I,event:concept:name@process end event,event:concept:name@process start event,event:adaptation_action@insert,event:adaptation_action@no-action,event:adaptation_action@skip,event:@@index,event:@@case_index,event:start_weekday,event:resource,event:duration,event:trace_id,succession:concept:name@A#B,succession:concept:name@B#C,succession:concept:name@C#D,succession:concept:name@D#E,succession:concept:name@D#F,succession:concept:name@E#F,succession:concept:name@F#process end event,succession:concept:name@process end event#I,succession:concept:name@process start event#A,trace:cycle_time,adaptation_action
44,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,346,44,3,,0.0,138,1,1,1,1,0,1,1,0,1,1193.1744407333333,skip
45,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,353,45,4,,0.0,139,1,1,1,0,1,0,1,0,1,1318.3438762,skip
46,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,360,46,0,,0.0,14,1,1,1,0,1,0,1,0,1,252.04327515,skip
47,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,367,47,4,,0.0,140,1,1,1,0,1,0,1,0,1,227.20429591666667,no-action
48,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,374,48,4,,0.0,141,1,1,1,0,1,0,1,0,1,1155.9037356833333,skip
49,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,381,49,3,,0.0,142,1,1,1,0,1,0,1,0,1,220.8848614,no-action
50,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,389,50,3,,0.0,143,1,1,1,1,0,1,1,0,1,260.22106238333333,skip
51,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,396,51,4,,0.0,144,1,1,1,0,1,0,1,0,1,234.88459815,no-action
52,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,404,52,4,,0.0,145,1,1,1,1,0,1,1,0,1,198.57318761666667,no-action
53,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,411,53,4,,0.0,146,1,1,1,0,1,0,1,0,1,217.40169555,no-action
54,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,418,54,4,,0.0,147,1,1,1,0,1,0,1,0,1,244.9697761,no-action
55,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,426,55,4,,0.0,148,1,1,1,1,0,1,1,0,1,228.26907476666668,no-action
56,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,434,56,4,,0.0,149,1,1,1,1,0,1,1,0,1,203.74278958333332,no-action
57,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,442,57,0,,0.0,15,1,1,1,1,0,1,1,0,1,244.56541855,no-action
58,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,450,58,4,,0.0,150,1,1,1,1,0,1,1,0,1,271.2159945,skip
59,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,458,59,4,,0.0,151,1,1,1,1,0,1,1,0,1,1123.8767772166666,skip
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,467,60,4,Inserted_Activity_resource,30.0,152,1,1,1,1,0,1,1,1,1,1181.75159915,skip
61,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,475,61,4,,0.0,153,1,1,1,1,0,1,1,0,1,1172.2802379,skip
62,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,482,62,4,,0.0,154,1,1,1,0,1,0,1,0,1,265.74221996666665,skip
63,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,489,63,0,,0.0,155,1,1,1,0,1,0,1,0,1,243.24822525,no-action
64,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,496,64,0,,0.0,156,1,1,1,0,1,0,1,0,1,1165.3693624333334,skip
65,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,503,65,0,,0.0,157,1,1,1,0,1,0,1,0,1,224.0634557,no-action
66,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,510,66,4,,0.0,158,1,1,1,0,1,0,1,0,1,234.64376898333333,no-action
67,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,518,67,4,,0.0,159,1,1,1,1,0,1,1,0,1,224.24726175,no-action
68,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,525,68,1,,0.0,16,1,1,1,0,1,0,1,0,1,203.16020428333334,no-action
69,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,532,69,0,,0.0,160,1,1,1,0,1,0,1,0,1,236.60137868333334,no-action
70,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,540,70,0,,0.0,161,1,1,1,1,0,1,1,0,1,238.54425621666667,no-action
71,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,547,71,0,,0.0,162,1,1,1,0,1,0,1,0,1,217.63078428333333,no-action
72,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,555,72,0,,0.0,163,1,1,1,1,0,1,1,0,1,220.76213095,insert
73,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,563,73,0,,0.0,164,1,1,1,1,0,1,1,0,1,214.5460641,no-action
74,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,571,74,0,,0.0,165,1,1,1,1,0,1,1,0,1,257.7732638333333,skip
75,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,578,75,0,,0.0,166,1,1,1,0,1,0,1,0,1,4338.199089566667,skip
76,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,586,76,0,,0.0,167,1,1,1,1,0,1,1,0,1,4021.0161645,skip
77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,595,77,0,Inserted_Activity_resource,30.0,168,1,1,1,1,0,1,1,1,1,3952.47219715,skip
78,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,603,78,0,,0.0,169,1,1,1,1,0,1,1,0,1,245.6416515,no-action
79,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,611,79,1,,0.0,17,1,1,1,1,0,1,1,0,1,222.63545363333333,no-action
80,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,618,80,0,,0.0,170,1,1,1,0,1,0,1,0,1,4500.708351116667,skip
81,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,625,81,1,,0.0,171,1,1,1,0,1,0,1,0,1,244.59368151666666,no-action
82,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,632,82,1,,0.0,172,1,1,1,0,1,0,1,0,1,249.81615025,no-action
83,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,639,83,1,,0.0,173,1,1,1,0,1,0,1,0,1,218.04218008333334,no-action
84,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,647,84,0,,0.0,174,1,1,1,1,0,1,1,0,1,211.52740961666666,insert
85,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,655,85,0,,0.0,175,1,1,1,1,0,1,1,0,1,218.11034975,no-action
86,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,662,86,1,,0.0,176,1,1,1,0,1,0,1,0,1,262.66679935,skip
87,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,670,87,1,,0.0,177,1,1,1,1,0,1,1,0,1,246.70669008333334,no-action
88,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,677,88,1,,0.0,178,1,1,1,0,1,0,1,0,1,200.00671386666667,no-action
89,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,685,89,1,,0.0,179,1,1,1,1,0,1,1,0,1,219.3845119,no-action
90,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,693,90,1,,0.0,18,1,1,1,1,0,1,1,0,1,255.07735351666668,skip
91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,702,91,1,Inserted_Activity_resource,30.0,180,1,1,1,1,0,1,1,1,1,1192.07831555,skip
92,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,710,92,1,,0.0,181,1,1,1,1,0,1,1,0,1,1157.4052278,skip
93,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,718,93,1,,0.0,182,1,1,1,1,0,1,1,0,1,1379.9146961833333,skip
94,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,726,94,1,,0.0,183,1,1,1,1,0,1,1,0,1,265.97782645,skip
95,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,734,95,1,,0.0,184,1,1,1,1,0,1,1,0,1,215.08035548333334,no-action
96,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,742,96,1,,0.0,185,1,1,1,1,0,1,1,0,1,1209.61146925,skip
97,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,750,97,1,,0.0,186,1,1,1,1,0,1,1,0,1,220.17011706666668,no-action
98,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,757,98,2,,0.0,187,1,1,1,0,1,0,1,0,1,261.42151251666667,skip
99,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,764,99,2,,0.0,188,1,1,1,0,1,0,1,0,1,245.44684376666666,no-action
100,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,771,100,2,,0.0,189,1,1,1,0,1,0,1,0,1,219.14185901666667,insert
101,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,779,101,1,,0.0,19,1,1,1,1,0,1,1,0,1,222.3449921,no-action
102,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,786,102,1,,0.0,190,1,1,1,0,1,0,1,0,1,240.79897895,no-action
103,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,794,103,1,,0.0,191,1,1,1,1,0,1,1,0,1,229.18987501666666,no-action
104,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,801,104,2,,0.0,192,1,1,1,0,1,0,1,0,1,199.36188361666666,no-action
105,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,809,105,2,,0.0,193,1,1,1,1,0,1,1,0,1,246.19413508333332,no-action
106,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,816,106,2,,0.0,194,1,1,1,0,1,0,1,0,1,266.7216229,skip
107,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,824,107,2,,0.0,195,1,1,1,1,0,1,1,0,1,1189.6925487666667,skip
108,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,832,108,2,,0.0,196,1,1,1,1,0,1,1,0,1,1011.6650996166667,skip
109,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,840,109,2,,0.0,197,1,1,1,1,0,1,1,0,1,1185.73512285,skip
110,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,848,110,2,,0.0,198,1,1,1,1,0,1,1,0,1,264.6199921333333,skip
111,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,856,111,2,,0.0,199,1,1,1,1,0,1,1,0,1,234.78203851666666,no-action
112,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,863,112,0,,0.0,2,1,1,1,0,1,0,1,0,1,1220.4916010666666,skip
113,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,871,113,1,,0.0,20,1,1,1,1,0,1,1,0,1,220.64271446666666,no-action
114,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,879,114,2,,0.0,200,1,1,1,1,0,1,1,0,1,233.48756465,no-action
115,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,887,115,2,,0.0,201,1,1,1,1,0,1,1,0,1,216.02661511666668,no-action
116,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,894,116,2,,0.0,202,1,1,1,0,1,0,1,0,1,196.45246848333332,no-action
117,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,901,117,3,,0.0,203,1,1,1,0,1,0,1,0,1,241.32059276666666,no-action
118,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,908,118,3,,0.0,204,1,1,1,0,1,0,1,0,1,257.35822585,skip
119,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,915,119,3,,0.0,205,1,1,1,0,1,0,1,0,1,216.28278985,no-action
120,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,922,120,2,,0.0,206,1,1,1,0,1,0,1,0,1,209.00738911666667,insert
121,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,930,121,2,,0.0,207,1,1,1,1,0,1,1,0,1,218.07135066666666,no-action
122,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,937,122,3,,0.0,208,1,1,1,0,1,0,1,0,1,240.1352611,no-action
123,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,945,123,3,,0.0,209,1,1,1,1,0,1,1,0,1,1171.04850415,skip
124,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,953,124,1,,0.0,21,1,1,1,1,0,1,1,0,1,1097.7475896,skip
125,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,961,125,3,,0.0,210,1,1,1,1,0,1,1,0,1,1207.0591944166667,skip
126,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,969,126,3,,0.0,211,1,1,1,1,0,1,1,0,1,239.76260421666666,no-action
127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,978,127,3,Inserted_Activity_resource,30.0,212,1,1,1,1,0,1,1,1,1,224.09774563333335,no-action
128,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,986,128,3,,0.0,213,1,1,1,1,0,1,1,0,1,1118.0153440166666,skip
129,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,993,129,3,,0.0,214,1,1,1,0,1,0,1,0,1,245.24915496666668,no-action
130,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1001,130,3,,0.0,215,1,1,1,1,0,1,1,0,1,255.36864786666666,skip
131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1010,131,3,Inserted_Activity_resource,30.0,216,1,1,1,1,0,1,1,1,1,208.2948344,no-action
132,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1018,132,3,,0.0,217,1,1,1,1,0,1,1,0,1,207.36910383333333,insert
133,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1025,133,3,,0.0,218,1,1,1,0,1,0,1,0,1,218.18076088333333,no-action
134,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1032,134,4,,0.0,219,1,1,1,0,1,0,1,0,1,265.8149323833333,skip
135,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1039,135,1,,0.0,22,1,1,1,0,1,0,1,0,1,234.62604808333333,no-action
136,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1046,136,4,,0.0,220,1,1,1,0,1,0,1,0,1,199.65157583333334,no-action
137,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1053,137,4,,0.0,221,1,1,1,0,1,0,1,0,1,218.07160116666665,no-action
138,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1061,138,3,,0.0,222,1,1,1,1,0,1,1,0,1,236.60617048333333,no-action
139,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1069,139,3,,0.0,223,1,1,1,1,0,1,1,0,1,1180.1373344833332,skip
140,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1076,140,4,,0.0,224,1,1,1,0,1,0,1,0,1,1049.7981659,skip
141,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1084,141,4,,0.0,225,1,1,1,1,0,1,1,0,1,1174.2147399666667,skip
142,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1091,142,4,,0.0,226,1,1,1,0,1,0,1,0,1,260.5765836333333,skip
143,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1099,143,4,,0.0,227,1,1,1,1,0,1,1,0,1,212.06608163333334,no-action
144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1108,144,4,Inserted_Activity_resource,30.0,228,1,1,1,1,0,1,1,1,1,1080.3094872833333,skip
145,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1116,145,4,,0.0,229,1,1,1,1,0,1,1,0,1,223.08703015,no-action
146,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1124,146,1,,0.0,23,1,1,1,1,0,1,1,0,1,267.7200671666667,skip
147,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1131,147,4,,0.0,230,1,1,1,0,1,0,1,0,1,255.53258188333334,skip
148,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1139,148,4,,0.0,231,1,1,1,1,0,1,1,0,1,197.04847698333333,no-action
149,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1147,149,4,,0.0,232,1,1,1,1,0,1,1,0,1,206.53769846666665,no-action
150,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1155,150,4,,0.0,233,1,1,1,1,0,1,1,0,1,236.57659495,no-action
151,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1163,151,4,,0.0,234,1,1,1,1,0,1,1,0,1,218.46072873333333,no-action
